id,category,claim,confidence,evidence_type,exact_quote_or_finding,url,retrieved
S16,HS continuity - electronics,"April 2024 DGCI&S directory (Finance Act 2023 Fourth Schedule w.e.f. 01.05.2023, mirrored in DGFT Notification 08/2023): within heading 8517 only 85176240 (HDSL) and 85176950 (Subscriber end equipment) were DELETED, with description substitutions at 85176230, 85176270, 85176960. Codes 85171300, 85171400, 85177100, 85177910, 85177990 were NOT changed.",VERIFIED,DGFT Notification No. 08/2023 dated 29.05.2023 Annexure-I,'85176240 ---High Bit Rate digital subscriber line System (HDSL) DELETED / 85176950 ---Subscriber end equipment DELETED',https://content.dgft.gov.in/Website/dgftprod/bb93bb0b-f72d-41a8-a9f4-6ca6b83d9bf7/Notification%2008%20dt%2029-05-2023%20Eng-.pdf,2026-08-28
S17,HS continuity - electronics,"April 2026 DGCI&S directory: no change to heading 8517. Finance Act 2026 new tariff lines take effect 01.05.2026 and are confined to headings 1302, 2915-2939, 3923, 7305/7306.",VERIFIED,Budget 2026-27 TRU letter,"new tariff items 'w.e.f. 1st May, 2026 [Clause 136(c)(i) read with Fourth Schedule of the Finance Bill, 2026]'",https://www.indiabudget.gov.in/doc/cen/dojstru1.pdf,2026-08-28
S18,HS continuity - white goods,"Heading 8415 (air conditioning machines) is FULLY CONTINUOUS across the whole study window. The string 8415 does not occur anywhere in DGFT Notification 54 Annexure-II, which enumerates every deleted and every new 8-digit code across Chapters 1-97. Finance Act 2023 Chapter 84 amendments were confined to 8414 and 8419. Finance Acts 2025 and 2026 touch 8415 90 00 on rate only.",VERIFIED,DGFT Notification 54 Annexure-II + DGFT Notification 08/2023 Annexure-I + Budget TRU letters,Absence of any 8415 row across all three change instruments,https://content.dgft.gov.in/Website/dgftprod/7d5fd1eb-ad39-4c99-b760-014223657469/Eng-Notification%2054%20dated%209%20Feb%202022%20ITC(HS)%202022%20_with%20Annexures.pdf,2026-08-28
S19,HS continuity - pharma,Headings 3003 and 3004 (medicaments) are FULLY CONTINUOUS. Zero rows for either heading in DGFT Notification 54 Annexure-II. Chapter 30 is absent from the Finance Act 2023 amended-chapter list. Budget 2025-26 TRU letter states 'Chapters 30 to 32: No change'.,VERIFIED,DGFT Notification 54 Annexure-II + DGFT Notification 08/2023 + Budget 2025-26 TRU letter,'Chapters 30 to 32: No change',https://www.indiabudget.gov.in/budget2025-26/doc/cen/dojstru1.pdf,2026-08-28
S20,HS continuity - pharma,Heading 3002 is NOT continuous: 30021100 (Malaria diagnostic test kits) was DELETED from Chapter 30 outright with no successor inside 3002. Heading 3006 has the same problem via 30062000 (Blood-grouping reagents). The Chapter 38 destinations commonly cited are NOT VERIFIED from an Indian source.,VERIFIED (the deletion); destination NOT VERIFIED,DGFT Notification 54 Annexure-II Chapter 30 block,'30021100 ... Malaria diagnostic test kits DELETED',https://content.dgft.gov.in/Website/dgftprod/7d5fd1eb-ad39-4c99-b760-014223657469/Eng-Notification%2054%20dated%209%20Feb%202022%20ITC(HS)%202022%20_with%20Annexures.pdf,2026-08-28
S21,HS continuity - pharma,Heading 2941 (antibiotics) is continuous through HS2022 and the April 2024 directory. OPEN RISK: Finance Act 2025 created or modified 18 supplementary notes and tariff items in Chapter 29 w.e.f. 01.05.2025 without the government TRU letter itemising the headings. Whether 2941 is among them is NOT VERIFIED.,PARTIALLY VERIFIED - OPEN ITEM,DGFT Notification 54 (no 2941 rows) + Budget 2025-26 TRU letter (headings not itemised),"'W.e.f. 1.5.2025, in chapter 29, 18 New supplementary Notes and tariff items are being created, substituted or modified'",https://www.indiabudget.gov.in/budget2025-26/doc/cen/dojstru1.pdf,2026-08-28
S22,HS continuity - textiles,"All 14 MMF fabric codes named in the PLI Textiles Annexure-II (540710, 540720, 540742, 540752, 540754, 540761, 540769, 551219, 551511, 551614, 580632, 600192, 600537, 600632) are CONTINUOUS across HS2022, April 2024 and April 2026. Chapters 54 and 60 have zero rows in DGFT Notification 54 Annexure-II. Chapter 55's only HS2022 change was the 5501.10 aramid split. Chapter 58's only change was heading 5802 (terry towelling), which does not touch 580632 in heading 5806.",VERIFIED,DGFT Notification 54 Annexure-II + DGFT Notification 08/2023 + Budget TRU letters,Chapter 54 and Chapter 60: no rows. Chapter 55: only '55011000 ... DELETED / 55011100 - - Of aramids Free / 55011900 - - Other Free',https://content.dgft.gov.in/Website/dgftprod/7d5fd1eb-ad39-4c99-b760-014223657469/Eng-Notification%2054%20dated%209%20Feb%202022%20ITC(HS)%202022%20_with%20Annexures.pdf,2026-08-28
S23,HS continuity - textiles,"MMF APPAREL is discontinuous: HS2022 collapsed headings 6201 and 6202 from a parallel article-based structure (overcoats ..11/..12/..13/..19 and anoraks ..91/..92/..93/..99) into a fibre-based structure (..20 wool, ..30 cotton, ..40 man-made fibres, ..90 other), with roughly 24 codes deleted and 16 created. The MMF lines 620113 / 620193 / 620213 / 620293 map into the new 620140 / 620240. Chapter 61 is entirely unchanged; the rest of Chapter 62 is unchanged.",VERIFIED,DGFT Notification 54 Annexure-II Chapter 62 block,Full deletion/creation list for 6201 and 6202,https://content.dgft.gov.in/Website/dgftprod/7d5fd1eb-ad39-4c99-b760-014223657469/Eng-Notification%2054%20dated%209%20Feb%202022%20ITC(HS)%202022%20_with%20Annexures.pdf,2026-08-28
S24,HS continuity - chapter aggregates,"A CHAPTER-85 total is NOT continuous. New heading 8524 (flat panel display modules) was created at HS2022 and fed partly from 85299030 (inside Chapter 85) but also from 90138010 and 90138090 (Chapter 90, OUTSIDE Chapter 85). Heading 8524 was then completely renumbered in the April 2024 directory - six codes deleted and 24 created. Never build a Chapter-85 aggregate.",VERIFIED,DGFT Notification 54 Annexure-II + DGFT Notification 08/2023 Annexure-I,'85299030 Open cell for television set DELETED'; '90138010 --- Liquid crystal devices (LCD) DELETED'; and the six 8524xx00 lines DELETED at April 2024 with 24 new lines created,https://content.dgft.gov.in/Website/dgftprod/bb93bb0b-f72d-41a8-a9f4-6ca6b83d9bf7/Notification%2008%20dt%2029-05-2023%20Eng-.pdf,2026-08-28
S25,Data source,"MEIDB provides monthly Indian export data at HS 2/4/6/8 digit in US$ million or Rs crore. Coverage banner as at 28 Aug 2026: 'Data available:Jan 2018 to Jun 2026 ((R) Revised Final upto Mar 2026, (F) Final upto Jun 2026). Data last updated on: 13/08/2026'. Monthly HS data begins January 2018 - this is the binding constraint on the pre-policy window.",VERIFIED,MEIDB portal page fetched directly,"'Data available:Jan 2018 to Jun 2026 ((R) Revised Final upto Mar 2026, (F) Final upto Jun 2026)'",https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-08-28
S26,Data source,"MEIDB is a client-rendered application: a plain HTTP GET returns the form shell and the string 'Loading...' with no data. Data retrieval requires driving the form (month, year, HS level, currency, year type) in a browser or by an authenticated POST. There is no API and no bulk download.",VERIFIED,Direct fetch of the MEIDB page,Page returned the form controls and 'Loading...' with no result table,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-08-28
S27,Data source,"MEIDB serves the ENTIRE series under a SINGLE HS code directory, not under the vintage in force at the time of each observation. Help page: 'ITC HS Code of the Commodity is from latest HS Code Directory provided by DGCIS Kolkata on April 2024', 'The UNIT of the commodity may be changed from April 2024 onward', 'The old HS Code may be either dropped or re-allocated', 'Commodity Description prefixed with * represents that the commodity is dropped from HS Code Directory from April 2024.onwards'. The portal front page carries the same warning with respect to April 2026, so the help page appears to lag the front page.",VERIFIED,MEIDB help page fetched directly,As quoted,https://tradestat.commerce.gov.in/meidb/help,2026-08-28
S28,Data source,"DGCI&S Dynamic Data Revision Policy, in force since 2009-10: on every monthly release the prior months of the current financial year are restated. The pipeline must RE-PULL the whole series, never append, and every extract must carry a retrieval date.",VERIFIED,DGCI&S data revision policy document,"'while releasing the data of a particular month, the data of the previous months (both for principal commodities and 8-digit HS codes) will also be revised'",https://www.dgciskol.gov.in/Writereaddata/Downloads/Dynamic_Data_Revision.pdf,2026-08-26
S29,Data source,Indian export statistics INCLUDE re-exports. Verbatim MEIDB help note: 'India's Imports/Exports include re-imports/re-exports also.',VERIFIED,MEIDB help page,'India's Imports/Exports include re-imports/re-exports also.',https://tradestat.commerce.gov.in/meidb/help,2026-08-28
S30,Data source,INR is the compilation currency; USD is derived monthly using the RBI average rate. USD is the headline presentation currency.,VERIFIED,DGCI&S National Metadata Structure section 2.6,'The average monthly exchange rate (Rs. per US$) as provided by the Reserve Bank of India is used to convert all trade data in US$.',https://www.dgciskol.gov.in/writereaddata/Downloads/20251015164834NMDS.pdf,2026-08-26
S31,Data source,"DGCI&S itself flags the comparability problem this project is solving: 'Change in ITC(HS) Coding system, especially cases for many to many changes poses challenge for maintaining comparability over time.'",VERIFIED,DGCI&S National Metadata Structure section 7.2,As quoted,https://www.dgciskol.gov.in/writereaddata/Downloads/20251015164834NMDS.pdf,2026-08-28
S32,Data source,DGCI&S publishes ITC(HS) schedules on its Indian Trade Classification page only up to the 2017 edition; there is no 2022 entry on that page (page last modified 04/May/2018). The ITC(HS)-2022 schedule is served instead from the DGCI&S data-dissemination portal.,VERIFIED,DGCI&S Indian Trade Classification page fetched directly,"Page lists ITC(HS) 2003, 2007, 2012 and 2017 only",https://www.dgciskol.gov.in/Itchs.aspx,2026-08-28
S33,Data source - retrieval limits,"The CBIC 'Correlation of Customs Tariff between 2021 and 2022' guidance document was located and authenticated (Annexure-I correlation-code scheme SF/DF/NF/DP/NP confirmed) but its Annexure-II 8-digit table could not be read beyond Chapter 28-29 from any mirror, because PDF text extraction truncates. The CBIC canonical URL is JavaScript-gated. The SF/DF/NF/DP/NP letter codes for Chapters 29-30, 54-62 and 84-85 are therefore NOT VERIFIED; DGFT Notification 54 Annexure-II was used instead, which records additions and deletions rather than correlation letters.",NOT VERIFIED - documented gap,Multiple mirrors attempted,n/a,https://gst.kar.nic.in/latestupdates/GuidanceDocumentonCorrelationofCustomsTariffbetween202120222412.pdf,2026-08-28
S35,HS continuity - controls,"O2b CLEARED. Chapter 64 (footwear) has ZERO entries anywhere in DGFT Notification No. 08/2023 dated 29.05.2023 - not in Annexure-I (code additions/deletions and policy conditions), not in Annexure-II (item description revisions and note changes), not in Annexure-III (policy-condition changes). The full notification was retrieved and read end to end. The chapters that DO appear are: 03, 04, 09, 10, 12, 13, 19, 27, 29, 31, 38, 39, 48, 52, 54, 57, 61, 62, 63, 69, 71, 84, 85, 87, 98. Chapter 64 is not among them. Combined with its zero rows in DGFT Notification 54 Annexure-II and the Budget 2026-27 TRU statement 'Chapter 57-65: No Change', Chapter 64 is continuity-clean across the entire study window.",VERIFIED,DGFT Notification No. 08/2023 dated 29.05.2023 - full text of Annexures I/II/III,Absence of any Chapter 64 entry across all three annexures,https://content.dgft.gov.in/Website/dgftprod/bb93bb0b-f72d-41a8-a9f4-6ca6b83d9bf7/Notification%2008%20dt%2029-05-2023%20Eng-.pdf,2026-08-29
S36,HS continuity - controls,"Chapter 42 (articles of leather) has ZERO entries in DGFT Notification 08/2023 across all three annexures, matching its zero rows in DGFT Notification 54 Annexure-II. C1 is continuity-clean.",VERIFIED,DGFT Notification No. 08/2023 - full text,Absence of any Chapter 42 entry,https://content.dgft.gov.in/Website/dgftprod/bb93bb0b-f72d-41a8-a9f4-6ca6b83d9bf7/Notification%2008%20dt%2029-05-2023%20Eng-.pdf,2026-08-29
S37,HS continuity - controls,"Chapter 52: DGFT Notification 08/2023 Annexure-I DELETED 52010020 and created 52010021 to 52010025 (a split of raw cotton by staple length). This is an 8-DIGIT change WITHIN 6-digit heading 520100, which is itself unchanged. An HS-6 Chapter 52 series is therefore NOT broken. Chapters 61 and 62 appear only in Annexure-II (item description revisions): 611521 description revised; 621390/62139090 and 62171010-62171070 descriptions revised. These are description changes, NOT code changes, and none touches a cotton line used by C3.",VERIFIED,DGFT Notification No. 08/2023 - Annexure-I and Annexure-II,"'52010020 ---Indian cotton: ---- Cotton, other than Indian, of all staple lengths DELETED' followed by 52010021-52010025 Free; Annexure-II lists 611521, 621390, 62139090, 62171010-62171070 under 'a) Item Descriptions'",https://content.dgft.gov.in/Website/dgftprod/bb93bb0b-f72d-41a8-a9f4-6ca6b83d9bf7/Notification%2008%20dt%2029-05-2023%20Eng-.pdf,2026-08-29
S38,HS continuity - controls,"O5 code enumeration, cross-checked at TWO vintages via MEIDB HS-6 (Mar-2019 on the ITC(HS)-2017 basis and Apr-2024 on the ITC(HS)-2022 basis). IDENTICAL at both vintages: Chapter 42 = 20 HS-6 codes; Chapter 64 = 25 HS-6 codes; Chapter 52 = 124 HS-6 codes; Chapter 61 cotton lines = 25 HS-6 codes. DISCONTINUOUS: the Chapter 62 cotton lines. Present in Mar-2019 only: 620112, 620192, 620212, 620292. Present in Apr-2024 only: 620130, 620230. The other 20 Chapter 62 cotton codes are present at both. This is the same article-to-fibre merger of headings 6201/6202 recorded at S23, now confirmed in the data. Codes were selected by chapter membership and product description only; no export value informed the selection.",VERIFIED BY DIRECT OBSERVATION,MEIDB Commodity-wise HS-6 code inventory at two vintages,Mar-2019 Ch62 cotton set includes 620112/620192/620212/620292 and excludes 620130/620230; Apr-2024 Ch62 cotton set is the reverse,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-08-29
S34,Design constraint,"No Chrome browser is connected to this session and MEIDB cannot be driven by plain HTTP fetch, so no MEIDB query was executed. Every continuity finding in this project rests on Indian government classification documents, not on observed MEIDB values. The empirical MEIDB confirmation protocol is specified in 08_report/research_design_memo.md section 1.5 and must be run before the panel is built.",VERIFIED - honest limitation of this session,n/a,n/a,n/a,2026-08-28
S39,Data source - backward extension,"MEIDB monthly HS-level export data begins January 2018 and cannot be queried earlier; 2018 is the earliest entry in the year dropdown. This is the binding constraint on the study window and is a property of the dissemination system, not a choice made by this project.",VERIFIED,MEIDB portal queried directly,"Coverage banner: 'Data available:Jan 2018 to Jun 2026 ((R) Revised Final upto Mar 2026, (F) Final upto Jun 2026)'",https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-09-02
S40,Data source - backward extension,EIDB provides HS 2/4/6/8-digit export data but is ANNUAL ONLY - its form contains no month control - and covers 2017-2018 to 2025-2026. It therefore cannot extend a monthly panel backward.,VERIFIED,EIDB portal form inspected directly,"Banner: 'Data available 2017-2018 to 2025-2026'; form fields are EidbYearCwe (fiscal years), EidbComLevelCwe (2/4/6/8 digit), Eidb_ReportCwe (currency). No month field exists.",https://tradestat.commerce.gov.in/eidb/commodity_wise_export,2026-09-02
S41,Data source - backward extension,"FTPA covers January 2010 to June 2026 but is neither HS-level nor truly monthly: its Detailed Report returns 191 Principal Commodity groups with CUMULATIVE fiscal-year-to-date value columns. A query for August 2015 returns columns 'Apr-August 2014' and 'Apr-August 2015', not the single month.",VERIFIED,FTPA Detailed Report queried directly for Aug-2015,Banner: 'Data available from January 2010 to Jun 2026'; 191 rows; column headers 'Apr-August 2014' / 'Apr-August 2015',https://tradestat.commerce.gov.in/ftpa/export_commodity_group_new,2026-09-02
S42,Data source - backward extension,"FTPA Principal Commodity groups cannot reproduce B1, B2 or B3. Nearest groups: P4 TELECOM INSTRUMENTS (merges handsets with the DROPPED Telecom sector), H8 DRUG FORMULATIONS BIOLOGICALS (closest to B2 but adds biologicals and has no HS concordance), and NO group for air conditioners (buried in 15 MACHINERY / N4 ELECTRIC MACHINERY AND EQUIPME). This CLOSES open item O3 as not viable - the Phase 1 assumption of a usable FTPA 'electronics group' was wrong.",VERIFIED,FTPA Detailed Report group list read directly,Groups observed: H5 BULK DRUGS DRUG INTERMEDIATES; H8 DRUG FORMULATIONS BIOLOGICALS; O9 COMPUTER HARDWARE PERIPHERALS; P1 CONSUMER ELECTRONICS; P2 ELECTRONICS COMPONENTS; P3 ELECTRONICS INSTRUMENTS; P4 TELECOM INSTRUMENTS; 15 MACHINERY; N4 ELECTRIC MACHINERY AND EQUIPME,https://tradestat.commerce.gov.in/ftpa/export_commodity_group_new,2026-09-02
