# CONTROL BASKETS - ENUMERATED HS-6 CODE LIST
# Compiled 2026-08-29. Amended 2026-08-29 under approved Change Proposal 003 (DECISION_LOG.md D-003).
# Cross-checked at TWO vintages: Mar-2019 (ITC(HS)-2017 basis) and Apr-2024 (ITC(HS)-2022 basis).
# Codes selected by CHAPTER/HEADING MEMBERSHIP and PRODUCT DESCRIPTION ONLY.
# No code was included or excluded on the basis of its observed export value. Values were not consulted.
# vintage: BOTH = present and identical at both vintages.
# TOTALS: C1 = 20 | C2 = 25 | C3 = 70 | grand total 115 codes.
control_id,basket_component,hs6,description,vintage,include,note
C2_FOOTWEAR,Chapter 64 - footwear,640359,Other footwear with outer soles of leather,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640391,Other ankle-covering footwear,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640399,Other footwear with outer soles of other materials,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640411,Sports footwear with outer soles of rubber/plastics and textile uppers,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640419,Other footwear with outer soles of rubber/plastics and textile uppers,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640420,Footwear with outer soles of leather/composition leather and textile uppers,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640510,Other footwear with uppers of leather or composition leather,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640520,Other footwear with uppers of textile materials,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640590,All other footwear,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640610,Uppers and parts thereof other than stiffeners,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640620,Outer soles and heels of rubber or plastics,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640690,Other gaiters/leggings and similar articles and parts thereof,BOTH,YES,
C3_COTTON,Heading 5208 - woven cotton fabrics >=85pc cotton weighing <=200 g/m2,520811,Unbleached plain weave weighing <=100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520812,Unbleached plain weave weighing >100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520813,Unbleached 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5208,520819,Unbleached other fabrics,BOTH,YES,
C3_COTTON,Heading 5208,520821,Bleached plain weave weighing <=100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520822,Bleached plain weave weighing >100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520823,Bleached 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5208,520829,Bleached other fabrics,BOTH,YES,
C3_COTTON,Heading 5208,520831,Dyed plain weave weighing <=100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520832,Dyed plain weave weighing >100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520833,Dyed 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5208,520839,Dyed other fabrics,BOTH,YES,
C3_COTTON,Heading 5208,520841,Of yarns of different colours - plain weave weighing <=100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520842,Of yarns of different colours - plain weave weighing >100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520843,Of yarns of different colours - 3 or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5208,520849,Of yarns of different colours - other fabrics,BOTH,YES,
C3_COTTON,Heading 5208,520851,Printed plain weave weighing <=100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520852,Printed plain weave weighing >100 g/m2,BOTH,YES,
C3_COTTON,Heading 5208,520859,Printed other fabrics,BOTH,YES,
C3_COTTON,Heading 5209 - woven cotton fabrics >=85pc cotton weighing >200 g/m2,520911,Unbleached plain weave,BOTH,YES,
C3_COTTON,Heading 5209,520912,Unbleached 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5209,520919,Unbleached other fabrics,BOTH,YES,
C3_COTTON,Heading 5209,520921,Bleached plain weave,BOTH,YES,
C3_COTTON,Heading 5209,520922,Bleached 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5209,520929,Bleached other fabrics,BOTH,YES,
C3_COTTON,Heading 5209,520931,Dyed plain weave,BOTH,YES,
C3_COTTON,Heading 5209,520932,Dyed 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5209,520939,Dyed other fabrics,BOTH,YES,
C3_COTTON,Heading 5209,520941,Of yarns of different colours - plain weave,BOTH,YES,
C3_COTTON,Heading 5209,520942,Denim,BOTH,YES,
C3_COTTON,Heading 5209,520943,Of yarns of different colours - 3 or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5209,520949,Of yarns of different colours - other fabrics,BOTH,YES,
C3_COTTON,Heading 5209,520951,Printed plain weave,BOTH,YES,
C3_COTTON,Heading 5209,520952,Printed 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5209,520959,Printed other fabrics,BOTH,YES,
C3_COTTON,Heading 5210 - woven cotton fabrics <85pc cotton mixed with man-made fibres weighing <=200 g/m2,521011,Unbleached plain weave,BOTH,YES,
C3_COTTON,Heading 5210,521019,Unbleached other fabrics,BOTH,YES,
C3_COTTON,Heading 5210,521021,Bleached plain weave,BOTH,YES,
C3_COTTON,Heading 5210,521029,Bleached other fabrics,BOTH,YES,
C3_COTTON,Heading 5210,521031,Dyed plain weave,BOTH,YES,
C3_COTTON,Heading 5210,521032,Dyed 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5210,521039,Dyed other fabrics,BOTH,YES,
C3_COTTON,Heading 5210,521041,Of yarns of different colours - plain weave,BOTH,YES,
C3_COTTON,Heading 5210,521049,Of yarns of different colours - other fabrics,BOTH,YES,
C3_COTTON,Heading 5210,521051,Printed plain weave,BOTH,YES,
C3_COTTON,Heading 5210,521059,Printed other fabrics,BOTH,YES,
C3_COTTON,Heading 5211 - woven cotton fabrics <85pc cotton mixed with man-made fibres weighing >200 g/m2,521111,Unbleached plain weave,BOTH,YES,
C3_COTTON,Heading 5211,521112,Unbleached 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5211,521119,Unbleached other fabrics,BOTH,YES,
C3_COTTON,Heading 5211,521120,Bleached,BOTH,YES,
C3_COTTON,Heading 5211,521131,Dyed plain weave,BOTH,YES,
C3_COTTON,Heading 5211,521132,Dyed 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5211,521139,Dyed other fabrics,BOTH,YES,
C3_COTTON,Heading 5211,521141,Of yarns of different colours - plain weave,BOTH,YES,
C3_COTTON,Heading 5211,521142,Denim,BOTH,YES,
C3_COTTON,Heading 5211,521143,Of yarns of different colours - 3 or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5211,521149,Of yarns of different colours - other fabrics,BOTH,YES,
C3_COTTON,Heading 5211,521151,Printed plain weave,BOTH,YES,
C3_COTTON,Heading 5211,521152,Printed 3-thread or 4-thread twill including cross twill,BOTH,YES,
C3_COTTON,Heading 5211,521159,Printed other fabrics,BOTH,YES,
C3_COTTON,Heading 5212 - other woven fabrics of cotton,521211,Weighing <=200 g/m2 - unbleached,BOTH,YES,
C3_COTTON,Heading 5212,521212,Weighing <=200 g/m2 - bleached,BOTH,YES,
C3_COTTON,Heading 5212,521213,Weighing <=200 g/m2 - dyed,BOTH,YES,
C3_COTTON,Heading 5212,521214,Weighing <=200 g/m2 - of yarns of different colours,BOTH,YES,
C3_COTTON,Heading 5212,521215,Weighing <=200 g/m2 - printed,BOTH,YES,
C3_COTTON,Heading 5212,521221,Weighing >200 g/m2 - unbleached,BOTH,YES,
C3_COTTON,Heading 5212,521222,Weighing >200 g/m2 - bleached,BOTH,YES,
C3_COTTON,Heading 5212,521223,Weighing >200 g/m2 - dyed,BOTH,YES,
C3_COTTON,Heading 5212,521224,Weighing >200 g/m2 - of yarns of different colours,BOTH,YES,
C3_COTTON,Heading 5212,521225,Weighing >200 g/m2 - printed,BOTH,YES,
X_C3_EXCLUDED,Raw cotton and waste - headings 5201-5203,5201-5203,"Cotton not carded or combed; cotton waste; cotton carded or combed",BOTH,EXCLUDED,"CP-003 Option 1. Agricultural commodity, not a manufactured fabric. Driven by crop cycles, MSP and India's periodic cotton export restrictions and import-duty changes - drivers wholly absent from the treated series."
X_C3_EXCLUDED,Cotton yarn and sewing thread - headings 5204-5207,5204-5207,Cotton sewing thread and cotton yarn,BOTH,EXCLUDED,CP-003 Option 1. One value-chain stage upstream of fabric. Available as a named wider variant if ever wanted.
X_C3_EXCLUDED,Cotton apparel - Chapter 61 cotton lines,61xxxx,"25 knitted cotton apparel HS-6 codes (610120, 610220, 610322, 610332, 610342, 610422, 610432, 610442, 610452, 610462, 610510, 610610, 610711, 610721, 610791, 610821, 610831, 610891, 610910, 611020, 611120, 611211, 611420, 611595, 611692)",BOTH,EXCLUDED,CP-003 Option 1. Apparel is a different value-chain stage from B4 fabrics. Codes recorded here so the exclusion is auditable; all 25 were identical at both vintages.
X_C3_EXCLUDED,Cotton apparel - Chapter 62 cotton lines,62xxxx,"26-code union (620112, 620192, 620130, 620212, 620292, 620230, 620322, 620332, 620342, 620412, 620422, 620432, 620442, 620452, 620462, 620520, 620630, 620711, 620721, 620791, 620821, 620891, 620920, 621132, 621142, 621320)",MIXED,EXCLUDED,"CP-003 Option 1. Apparel stage, AND discontinuous: 620112/620192/620212/620292 are pre-Apr-2022 only and 620130/620230 post-Apr-2022 only (the 6201/6202 article-to-fibre merger). Excluding these removes the discontinuity from the control set entirely."
